LANG_NAME	Comments	English	Français	Deutsch	Italiano	US
STR_MCARD_COMPLETE	Warning message	Save successful. Do not remove the VMU at any time during the game	Sauvegarde réussie. Ne retire jamais la MEMORY CARD (Carte Mémoire) au cours d'une partie.	Speichervorgang abgeschlossen. MEMORY CARD zu keinem Zeitpunkt während des Spiels entfernen.	Salvataggio completato. Non rimuovere per nessun motivo la MEMORY CARD durante una partita.	Save successful. Do not remove the VMU at any time during the game
STR_MCARD_CONTINUE	Option you may select by pressing a button	Continue	Continuer	Fortfahren	Continua	Continue
STR_MCARD_SAVEERROR	Warning message	Save error	Erreur de sauvegarde	Speicherfehler	Errore durante il salvataggio	Save error
STR_MCARD_UNFORMAT	Option you may select by pressing a button	VMU in port %s is unformatted.  Format it now?	La MEMORY CARD (Carte Mémoire) dans la fente pour MEMORY CARD (Carte Mémoire) N°%s n'est pas formatée. Veux-tu la formater maintenant ?	Die MEMORY CARD in MEMORY CARD Steckplatz %s ist nicht formatiert. Soll die MEMORY CARD jetzt formatiert werden?	MEMORY CARD nell'ingresso MEMORY CARD %s non formattata. Formattare la MEMORY CARD? 	VMU in port %s is unformatted.  Format it now?
STR_MCARD_FORMATCARD	Option you may select by pressing a button	Format VMU	Formater la MEMORY CARD (Carte Mémoire)	MEMORY CARD formatieren	Formattare la MEMORY CARD.	Format VMU
STR_MCARD_FORMATTING	Warning message	Formatting VMU. Do not remove VMU or reset console while formatting	Formatage de la MEMORY CARD (Carte Mémoire) en cours. Ne retire pas la MEMORY CARD (Carte Mémoire) et n'appuie pas sur la touche RESET lors du formatage.	MEMORY CARD wird formatiert. MEMORY CARD während dieses Vorgangs nicht entfernen und RESET-Taste nicht betätigen.	Formattazione della MEMORY CARD. Non rimuovere la MEMORY CARD o riavviare la console durante la formattazione!	Formatting VMU. Do not remove VMU or reset console while formatting
STR_MCARD_FORMATERROR	Warning message	Format error	Erreur de formatage	Fehler beim Formatieren	Errore di formattazione	Format error
STR_MCARD_PROCEED_WITHOUT_SAVE	Option you may select by pressing a button	Proceed without ability to save progress	Poursuivre sans pouvoir sauvegarder la progression	Fortfahren ohne den Spielstand speichern zu können	Continua senza la possibilità di salvare i tuoi progressi.	Proceed without ability to save progress
STR_MCARD_RECHECK	Option you may select by pressing a button	Recheck VMU	Vérifier la MEMORY CARD (Carte Mémoire) une nouvelle fois	MEMORY CARD erneut überprüfen	Ricontrollare la MEMORY CARD.	Recheck VMU
STR_MCARD_DONTFORMAT	Option you may select by pressing a button	Don't format VMU	Ne pas formater la MEMORY CARD (Carte Mémoire)	MEMORY CARD nicht formatieren	Non formattare la MEMORY CARD.	Don't format VMU
STR_MCARD_NEEDFORMAT	Warning message	To allow you to save your progress Frogger 2 requires a formatted VMU in port %s	"Afin que Frogger 2 sauvegarde ta progression, une MEMORY CARD (Carte Mémoire) formatée doit se trouver dans la fente pour MEMORY CARD (Carte Mémoire) N°%s. "	"Um den Spielstand von Frogger 2 speichern zu können, wird eine formatierte MEMORY CARD in MEMORY CARD Steckplatz %s benötigt."	"Per poter salvare, Frogger 2 richiede una MEMORY CARD formattata nell'ingresso MEMORY CARD %s."	To allow you to save your progress Frogger 2 requires a formatted VMU in port %s
STR_MCARD_LOADING	Warning message	Loading Frogger 2 saved game. Please do not remove the VMU or reset the console while loading	Chargement d'une partie sauvegardée de Frogger 2 en cours. Ne retire pas la MEMORY CARD (Carte Mémoire) et n'appuie pas sur la touche RESET lors du chargement.	Gespeichertes Frogger 2-Spiel wird geladen. MEMORY CARD während dieses Vorgangs bitte nicht entfernen und RESET-Taste nicht betätigen.	Caricamento dati di Frogger 2. Non rimuovere la MEMORY CARD o riavviare la console durante il caricamento!	Loading Frogger 2 saved game. Please do not remove the VMU or reset the console while loading
STR_MCARD_LOADCOMPLETE	Warning message	Load successful from port %s.	Chargement réussi	Ladevorgang abgeschlossen	Caricamento riuscito	Load successful from port %s.
STR_MCARD_LOADERROR	Warning message	Load error	Erreur de chargement	Ladefehler	Errore di caricamento	Load error
STR_MCARD_NEEDS_ONE_BLOCK	Warning message	To save your Frogger 2 progress you must create a saved game on the VMU in port %s	Tu dois créer une partie sauvegardée sur la MEMORY CARD (Carte Mémoire) dans la fente pour MEMORY CARD (Carte Mémoire) N°%s afin de pouvoir sauvegarder ta progression dans Frogger 2.	"Um den Spielstand von Frogger 2 speichern zu können, muss ein Speicherstand auf der MEMORY CARD in MEMORY CARD Steckplatz %s erstellt werden."	Per salvare i tuoi progressi in Frogger 2 devi creare un salvataggio sulla MEMORY CARD nell'ingresso MEMORY CARD %s.	To save your Frogger 2 progress you must create a saved game on the VMU in port %s
STR_MCARD_CREATE_SAVE	Option you may select by pressing a button	Create saved game	Créer une partie sauvegardée	Speicherstand erstellen	Crea salvataggio	Create saved game
STR_MCARD_CHANGED	Warning message	Warning: the VMU in port %s has changed! Ensure the VMU you wish to use is inserted.	Attention : la MEMORY CARD (Carte Mémoire) qui se trouve dans la fente pour MEMORY CARD (Carte Mémoire) N°%s n'est pas la même qu'auparavant ! Assure-toi qu'il s'agit de la MEMORY CARD désirée.	"Achtung: Die MEMORY CARD in MEMORY CARD Steckplatz %s wurde ausgetauscht! Vergewissern Sie sich, dass die gewünschte MEMORY CARD eingelegt ist."	Attenzione: la MEMORY CARD nell'ingresso MEMORY CARD %s è stata cambiata! Assicurati che la MEMORY CARD inserita sia quella che tu vuoi utilizzare.	Warning: the VMU in port %s has changed! Ensure the VMU you wish to use is inserted.
STR_MCARD_CHECK_THIS_CARD	Option you may select by pressing a button	Use VMU in port %s	Utiliser la MEMORY CARD (Carte Mémoire) dans la fente pour MEMORY CARD (Carte Mémoire) N°%s	MEMORY CARD in MEMORY CARD Steckplatz %s benutzen	Utilizza la MEMORY CARD nell'ingresso MEMORY CARD %s.	Use VMU in port %s
STR_FORMAT_SUCCESSFUL	Warning message	Format successful	Formatage réussi	Formatieren abgeschlossen	Formattazione completata	Format successful
STR_SELECTOPTION	Option you may select by pressing a button	Select option	Sélectionner une option	Option wählen	Seleziona opzione	Select option
STR_X_SELECT_OPTION	Option you may select by pressing a button	 @X - Select 	 @X - Sélectionner	 @X - Auswählen	 @X - Seleziona	 @X - Select 
STR_PAUSE_MODE	Pause screen title	Pause Mode	Pause	Pause 	Pausa	Pause Mode
STR_TRAINING_COMPLETE	Displayed when you complete the training level	Training Completed!	Entraînement terminé !	Training abgeschlossen!	Addestramento completato!	Training Completed!
STR_NEED_PADS	If you don't have enough controller to play with the number of players you have selected. With line below	Not enough	Manque d'unités	Zu wenige	Controller non	Not enough
STR_NEED_PADS2	with line above	controllers!	de contrôle !	Controller!	sufficienti!	controllers!
STR_RECORD	"The record time on a level. Followed by time, then name"	Best: %s  %d:%02d.%d0	Record : %s  %d:%02d	Rekord: %s  %d:%02d	Record: %s  %d:%02d	Record: %s  %d:%02d.%d0
STR_MULTI_DESC_1	Instruction when you start a multiplayer level	Race to the finish line!	Franchis la ligne d'arrivée !	Um die Wette zur Ziellinie!	Corri fino al traguardo!	Race to the finish line!
STR_MULTI_DESC_2	Instruction when you start a multiplayer level. Trails and dangerous blocks left behind the players as they move	Avoid the trails!	Evite les chemins !	Meide die Wege!	Evita i sentieri!	Avoid the trails!
STR_MULTI_DESC_3	Instruction when you start a multiplayer level	Rescue the babies!	Sauve les bébés !	Rette die Babys!	Salva i cuccioli!	Rescue the babies!
STR_MUS_VOL	Label	Music Volume	Volume de la musique	Musiklautstärke	Volume musiche	Music Volume
STR_SFX_VOL	Label	Sound Volume	Volume effets sonores	Geräuschlautstärke	Volume sonoro	Sound Volume
STR_SOUNDSTEREO	Label	Stereo	Stéréo	Stereo	Stereo	Stereo
STR_SOUNDMONO	Label	Mono	Mono	Mono	Mono	Mono
STR_LOADING	Displayed when game is loading	Loading	Chargement en cours	Ladevorgang ...	Caricamento...	Loading
STR_SOUND_INSTR_1	Indicates you should use certain buttons to change the volume	Change volume	Pour régler le volume	Lautstärke ändern	Modifica il volume	Change volume
STR_SOUND_INSTR_2	Indicates you should use certain buttons to change whether you are changing sound or music volume	Change selection	Pour sélectionner	Auswahl ändern	Modifica selezione	Change selection
STR_WARNING_1	Warning message	This will reset all the best times to their starting values. Are you sure?	Les valeurs de départ des temps records vont être rétablies. Es-tu sûr(e) ?	Hiermit werden alle Bestzeiten auf ihren ursprünglichen Wert zurückgesetzt. Bist du sicher?	Questo riporterà tutti i tempi migliori ai loro valori di partenza. Sei sicuro?	This will reset all the best times to their starting values. Are you sure?
STR_WARNING_2	Warning message	This will clear all your progress in Story Mode and reset all coins and awards. Are you sure?	Ceci annulera ta progression dans le mode Histoire et rétablira toutes les pièces et les récompenses. Es-tu sûr(e) ?	Hiermit wird der aktuelle Spielstand im Story-Modus einschließlich aller erhaltenen Münzen und Auszeichnungen gelöscht. Bist du sicher?	Questo cancellerà tutti i tuoi progressi nella modalità 'Storia' e ogni moneta e premio conquistati. Sei sicuro?	This will clear all your progress in Story Mode and reset all coins and awards. Are you sure?
STR_CHAR_NAME_1	Character name	Frogger	Frogger	Frogger	Frogger	Frogger
STR_CHAR_NAME_2	Character name	Lillie Frog	Lillie Frog	Lillie Frosch	Lillie Frog	Lillie Frog
STR_CHAR_NAME_3	Character name	Tad	Tad	Tad	Tad	Tad
STR_CHAR_NAME_4	Character name	Treeby	Treeby	Treeby	Treeby	Treeby
STR_CHAR_NAME_5	Character name	Wart	Wart	Wart	Wart	Wart
STR_CHAR_NAME_6	Character name	Tank	Tank	Tank	Tank	Tank
STR_CHAR_NAME_7	Character name	Roobie	Roobie	Roobie	Roobie	Roobie
STR_CHAR_NAME_8	Character name	Swampy	Swampy	Swampy	Swampy	Swampy
STR_DIFFICULTY_1	Easy setting	Easy	facile	Leicht	facile	Easy
STR_DIFFICULTY_2	Normal setting	Normal	normal	Mittel	normale	Normal
STR_DIFFICULTY_3	Hard setting	Hard	difficile	Schwer	difficile	Hard
STR_DEMO_MODE	Displayed during attract mode	DEMO MODE	DÉMO 	DEMO	DEMO 	DEMO MODE
STR_OPTIONS		Options	Options	Optionen	Opzioni	Options
STR_START_GAME		Start game	Commencer une partie	Spiel starten	Inizia il gioco	Start Game
STR_THE_END		The End	Fin	Ende	Fine	The End
STR_CREDITS_1	CREDITS SECTION - START	Frogger 2	Frogger 2	Frogger 2	Frogger 2	Frogger 2
STR_CREDITS_2		Designed and Developed by	Conçu et développé par	Design und Entwicklung	Ideato e sviluppato da	Designed and Developed by
STR_CREDITS_3		Blitz Games	Blitz Games	Blitz Games	Blitz Games	Blitz Games
STR_CREDITS_4		Founded by	Fondé par 	Gegründet von	Fondato da	Founded by
STR_CREDITS_5		The Oliver Twins	les jumeaux Oliver	den Oliver-Zwillingen	i gemelli Oliver	The Oliver Twins
STR_CREDITS_6		Technical Director	Directeur technique	Technische Leitung	Direttore tecnico	Technical Director
STR_CREDITS_7		Andrew Oliver	Andrew Oliver	Andrew Oliver	Andrew Oliver	Andrew Oliver
STR_CREDITS_8		Project Manager	Responsable du projet	Projektmanagement	Responsabile del progetto	Project Manager
STR_CREDITS_9		Darren Wood	Darren Wood	Darren Wood	Darren Wood	Darren Wood
STR_CREDITS_10		Programming	Programmation	Programmierung	Programmazione	Programming
STR_CREDITS_11		Byron Blay	Byron Blay	Byron Blay	Byron Blay	Byron Blay
STR_CREDITS_12		Steve Bond	Steve Bond	Steve Bond	Steve Bond	Steve Bond
STR_CREDITS_13		Matt Cloy	Matt Cloy	Matt Cloy	Matt Cloy	Matt Cloy
STR_CREDITS_14		Andrew Eder	Andrew Eder	Andrew Eder	Andrew Eder	Andrew Eder
STR_CREDITS_15		James Healey	James Healey	James Healey	James Healey	James Healey
STR_CREDITS_16		James Hubbard	James Hubbard	James Hubbard	James Hubbard	James Hubbard
STR_CREDITS_17		Mike Movel	Mike Movel	Mike Movel	Mike Movel	Mike Movel
STR_CREDITS_18		David Swift	David Swift	David Swift	David Swift	David Swift
STR_CREDITS_19		Design	Conception	Design	Design	Design
STR_CREDITS_20		Alex Rigby	Alex Rigby	Alex Rigby	Alex Rigby	Alex Rigby
STR_CREDITS_21		Joff Scarcliffe	Joff Scarcliffe	Joff Scarcliffe	Joff Scarcliffe	Joff Scarcliffe
STR_CREDITS_22			Conception et mise	Leveldesign	Design e	
STR_CREDITS_23		Level Design and Editing	en forme des niveaux	und -bearbeitung	implementazione dei livelli	Level Design and Editing
STR_CREDITS_24		Lauren Grindrod	Lauren Grindrod	Lauren Grindrod	Lauren Grindrod	Lauren Grindrod
STR_CREDITS_25		Simon Little	Simon Little	Simon Little	Simon Little	Simon Little
STR_CREDITS_26		Bruce Millar	Bruce Millar	Bruce Millar	Bruce Millar	Bruce Millar
STR_CREDITS_27		Joff Scarcliffe	Joff Scarcliffe	Joff Scarcliffe	Joff Scarcliffe	Joff Scarcliffe
STR_CREDITS_28			Concepteur artistique	Konzept Grafik		
STR_CREDITS_29		Concept Art and Illustration	et illustrateur	und Animation	Grafica e illustrazione	Concept Art and Illustration
STR_CREDITS_30		Richard Whale	Richard Whale	Richard Whale	Richard Whale	Richard Whale
STR_CREDITS_31		Character Building	Mise en forme et	Bau der Figuren	Creazione e animazione 	Character Building
STR_CREDITS_32		and Animation	animation des personnages	und Animationen	dei personaggi	and Animation
STR_CREDITS_33		Sandro Da Cruz	Sandro Da Cruz	Sandro Da Cruz	Sandro Da Cruz	Sandro Da Cruz
STR_CREDITS_34		Additional Animation	Animation complémentaire	Zusätzliche Animation	Animazione aggiuntiva	Additional Animation
STR_CREDITS_35		Bruce Millar	Bruce Millar	Bruce Millar	Bruce Millar	Bruce Millar
STR_CREDITS_36		Simon Little	Simon Little	Simon Little	Simon Little	Simon Little
STR_CREDITS_37		Joff Scarcliffe	Joff Scarcliffe	Joff Scarcliffe	Joff Scarcliffe	Joff Scarcliffe
STR_CREDITS_38		Textures	Textures	Texturen	Texture	Textures
STR_CREDITS_39		Alex Rigby	Alex Rigby	Alex Rigby	Alex Rigby	Alex Rigby
STR_CREDITS_40		Additional Textures	Textures complémentaires	Zusätzliche Texturen	Texture aggiuntive	Additional Textures
STR_CREDITS_41		Bruce Millar	Bruce Millar	Bruce Millar	Bruce Millar	Bruce Millar
STR_CREDITS_42		Lauren Grindrod	Lauren Grindrod	Lauren Grindrod	Lauren Grindrod	Lauren Grindrod
STR_CREDITS_43		Richard Whale	Richard Whale	Richard Whale	Richard Whale	Richard Whale
STR_CREDITS_44		Simon Little	Simon Little	Simon Little	Simon Little	Simon Little
STR_CREDITS_45		Joff Scarcliffe	Joff Scarcliffe	Joff Scarcliffe	Joff Scarcliffe	Joff Scarcliffe
STR_CREDITS_46		3D Modelling	Modélisation 3D	3D-Modelle	Modellazione 3D 	3D Modeling
STR_CREDITS_47		Joff Scarcliffe	Joff Scarcliffe	Joff Scarcliffe	Joff Scarcliffe	Joff Scarcliffe
STR_CREDITS_48		Bruce Millar	Bruce Millar	Bruce Millar	Bruce Millar	Bruce Millar
STR_CREDITS_49		Simon Little	Simon Little	Simon Little	Simon Little	Simon Little
STR_CREDITS_50		Music and Sound Effects	Musique et effets sonores	Musik und Soundeffekte	Musiche ed effetti sonori	Music and Sound Effects
STR_CREDITS_51		Andy Morris	Andy Morris	Andy Morris	Andy Morris	Andy Morris
STR_CREDITS_52		Video Sequences	Séquences vidéo	Videosequenzen	Sequenze video	Video Sequences
STR_CREDITS_53		Atomic Arts	Atomic Arts	Atomic Arts	Atomic Arts	Atomic Arts
STR_CREDITS_54		Video Producer	Producteur vidéo	Videoproduktion	Produttore video	Video Producer
STR_CREDITS_55		Justin Cornish	Justin Cornish	Justin Cornish	Justin Cornish	Justin Cornish
STR_CREDITS_56		Video Animation	Animation vidéo	Videoanimation	Animazione video	Video Animation
STR_CREDITS_57		Modelling and Lighting	Modélisation et lumières	Modelle und Beleuchtung	Modellazione e luci	Modeling and Lighting
STR_CREDITS_58		Greg Fisher	Greg Fisher	Greg Fisher	Greg Fisher	Greg Fisher
STR_CREDITS_59		Adam Comiskey	Adam Comiskey	Adam Comiskey	Adam Comiskey	Adam Comiskey
STR_CREDITS_60		Patrick Lyndon-Stanford	Patrick Lyndon-Stanford	Patrick Lyndon-Stanford	Patrick Lyndon-Stanford	Patrick Lyndon-Stanford
STR_CREDITS_61		Video Modelling	Modélisation vidéo	Video-Modelle	Modellazione video	Video Modeling
STR_CREDITS_62		Tony Neal	Tony Neal	Tony Neal	Tony Neal	Tony Neal
STR_CREDITS_63		Robert Angol	Robert Angol	Robert Angol	Robert Angol	Robert Angol
STR_CREDITS_64		Chris Surbagio	Chris Surbagio	Chris Surbagio	Chris Surbagio	Chris Surbagio
STR_CREDITS_65		Voice Talent	Voix	Tonaufnahmen	Specialista effetti sonori	Voice Talent
STR_CREDITS_66		Matinee	Matinee	Matinee	Matinee	Matinee
STR_CREDITS_67		Voice Artist	Artiste vocal	Stimme	Attore effetti sonori	Voice Artist
STR_CREDITS_68		Justin Fletcher	Justin Fletcher	Justin Fletcher	Justin Fletcher	Justin Fletcher
STR_CREDITS_69		Voice Engineer	Ingénieur des voix	Tontechnik	Ingegnere effetti sonori	Voice Engineer
STR_CREDITS_70		Chris Renshaw	Chris Renshaw	Chris Renshaw	Chris Renshaw	Chris Renshaw
STR_CREDITS_71		Special thanks to	Remerciements particuliers	Besonderen Dank an	Un ringraziamento speciale a:	Special thanks to
STR_CREDITS_72		Richard Hackett	Richard Hackett	Richard Hackett	Richard Hackett	Richard Hackett
STR_CREDITS_73		Steve Thompson	Steve Thompson	Steve Thompson	Steve Thompson	Steve Thompson
STR_CREDITS_74		Uncle John Whigham	Oncle John Whigham	Onkel John Whigham	Lo 'zio' John Whigham	Uncle John Whigham
STR_CREDITS_75		Andrew Slater	Andrew Slater	Andrew Slater	Andrew Slater	Andrew Slater
STR_CREDITS_76		Andy Sidwell	Andy Sidwell	Andy Sidwell	Andy Sidwell	Andy Sidwell
STR_CREDITS_77		Scott Davidson	Scott Davidson	Scott Davidson	Scott Davidson	Scott Davidson
STR_CREDITS_78		Nigel Davies	Nigel Davies	Nigel Davies	Nigel Davies	Nigel Davies
STR_CREDITS_79		Susie Thorburn	Susie Thorburn	Susie Thorburn	Susie Thorburn	Susie Thorburn
STR_CREDITS_80		Roland Smythe	Roland Smythe	Roland Smythe	Roland Smythe	Roland Smythe
STR_CREDITS_81		Alison Parker	Alison Parker	Alison Parker	Alison Parker	Alison Parker
STR_CREDITS_82		Caroline Hart	Caroline Hart	Caroline Hart	Caroline Hart	Caroline Hart
STR_CREDITS_83		Jackie Pinnock	Jackie Pinnock	Jackie Pinnock	Jackie Pinnock	Jackie Pinnock
STR_CREDITS_84		Jacqui Lyons	Jacqui Lyons	Jacqui Lyons	Jacqui Lyons	Jacqui Lyons
STR_CREDITS_85		Guy Herbert	Guy Herbert	Guy Herbert	Guy Herbert	Guy Herbert
STR_CREDITS_86		...and all at Blitz Games!	…et chacun à Blitz Games !	... und alle bei Blitz Games	...e tutti alla Blitz Games!	..and all at Blitz Games!
STR_CREDITS_87		For Hasbro	Pour Hasbro	Hasbro	Per Hasbro	For Hasbro
STR_CREDITS_88		Interactive Europe	Interactive en Europe	Interactive Europa	Interactive Europa	Interactive Europe
STR_CREDITS_89		Producer	Producteur	Produzent	Produttore	Producer
STR_CREDITS_90		Kevin Mullard	Kevin Mullard	Kevin Mullard	Kevin Mullard	Kevin Mullard
STR_CREDITS_91		Executive Producer	Producteur exécutif	Ausführender Produzent	Produttore esecutivo	Executive Producer
STR_CREDITS_92		Chris Down	Chris Down	Chris Down	Chris Down	Chris Down
STR_CREDITS_93		European Development	Directeur du développement	Leitung Entwicklung	Direttore	European Development
STR_CREDITS_94		Director	en Europe	Europa	sviluppo Europa	Director
STR_CREDITS_95		Sam Baker	Sam Baker	Sam Baker	Sam Baker	Sam Baker
STR_CREDITS_96		Senior Product Manager	Responsable produit en chef	Leitender Produktmanager	Responsabile per il prodotto	Senior Product Manager
STR_CREDITS_97		Harvey Eagle	Harvey Eagle	Harvey Eagle	Harvey Eagle	Harvey Eagle
STR_CREDITS_98		Q.A. Manager	Direction assurance qualité	Leitung QS	Direttore controllo qualità	Q.A. Manager
STR_CREDITS_99		Andrew Luckett	Andrew Luckett	Andrew Luckett	Andrew Luckett	Andrew Luckett
STR_CREDITS_100		Q.A. Supervisor	Contrôle assurance qualité	Aufsicht QS	Capo controllo qualità	Q.A. Supervisor
STR_CREDITS_101		Dan Luton	Dan Luton	Dan Luton	Dan Luton	Dan Luton
STR_CREDITS_102		Lead Tester	Testeur principal	Testleitung	Collaudatore capo	Lead Tester
STR_CREDITS_103		Lee Evans	Lee Evans	Lee Evans	Lee Evans	Lee Evans
STR_CREDITS_104		Testers	Testeurs	Tester	Testato da:	Testers
STR_CREDITS_105		Robert Ward	Robert Ward	Robert Ward	Robert Ward	Robert Ward
STR_CREDITS_106		Andrew Spratt	Andrew Spratt	Andrew Spratt	Andrew Spratt	Andrew Spratt
STR_CREDITS_107		Andrew Stainer	Andrew Stainer	Andrew Stainer	Andrew Stainer	Andrew Stainer
STR_CREDITS_108		Nick Thorpe	Nick Thorpe	Nick Thorpe	Nick Thorpe	Nick Thorpe
STR_CREDITS_109		Eric Manktelow	Eric Manktelow	Eric Manktelow	Eric Manktelow	Eric Manktelow
STR_CREDITS_110		Phil Gilbert	Phil Gilbert	Phil Gilbert	Phil Gilbert	Phil Gilbert
STR_CREDITS_111		Andrew Coward	Andrew Coward	Andrew Coward	Andrew Coward	Andrew Coward
STR_CREDITS_112		Steven Powell-Waddell	Steven Powell-Waddell	Steven Powell-Waddell	Steven Powell-Waddell	Steven Powell-Waddell
STR_CREDITS_113		Matt Nation	Matt Nation	Matt Nation	Matt Nation	Matt Nation
STR_CREDITS_114		Kevin Wilcox	Kevin Wilcox	Kevin Wilcox	Kevin Wilcox	Kevin Wilcox
STR_CREDITS_115		Hardware Compatibility	Laboratoire de tests de	Testleitung	Laboratorio controllo	Hardware Compatibility
STR_CREDITS_116		Testing Lab	compatibilité du matériel	Hardware-Kompatibilität	compatibilità hardware	Testing Lab
STR_CREDITS_117		Ian Palfrey	Ian Palfrey	Ian Palfrey	Ian Palfrey	Ian Palfrey
STR_CREDITS_118		Alan Clark	Alan Clark	Alan Clark	Alan Clark	Alan Clark
STR_CREDITS_119		Localisation	Chef de projet 	Projektleitung	Responsabile 	Localization
STR_CREDITS_120		Project Manager	responsable de la localisation	Lokalisierung	localizzazione	Project Manager
STR_CREDITS_121		Charlotte Virgoe	Charlotte Virgoe	Charlotte Virgoe	Charlotte Virgoe	Charlotte Virgoe
STR_CREDITS_122		Art Director	Directeur artistique	Künstlerische Leitung	Direttore artistico	Art Director
STR_CREDITS_123		Ken Tse	Ken Tse	Ken Tse	Ken Tse	Ken Tse
STR_CREDITS_124		Manual Manager	Responsable du manuel	Leitung Handbuch	Responsabile del manuale	Manual Manager
STR_CREDITS_125		Sam Hart	Sam Hart	Sam Hart	Sam Hart	Sam Hart
STR_CREDITS_126		Documentation Writer	Documentation 	Dokumentation	Documentazione a cura di	Documentation Writer
STR_CREDITS_127		Bill Martin	Bill Martin	Bill Martin	Bill Martin	Bill Martin
STR_CREDITS_128		Strategic	Directeur 	Leitung	Direttore	Strategic
STR_CREDITS_129		Marketing Director	marketing stratégique	Strategisches Marketing	strategie di marketing 	Marketing Director
STR_CREDITS_130		Kate Webster	Kate Webster	Kate Webster	Kate Webster	Kate Webster
STR_CREDITS_131		Commercial Director	Directeur commercial	Internationale	Direttore commerciale	Commercial Director
STR_CREDITS_132		International	à l'international	Geschäftsführung	internazionale	International
STR_CREDITS_133		Chris Noone	Chris Noone	Chris Noone	Chris Noone	Chris Noone
STR_CREDITS_134		Special Thanks	Remerciements particuliers	Besonderen Dank an	Un ringraziamento speciale a:	Special Thanks
STR_CREDITS_135		Kellie Rice 	Kellie Rice 	Kellie Rice 	Kellie Rice 	Kellie Rice 
STR_CREDITS_136		Shahid Ahmad	Shahid Ahmad	Shahid Ahmad	Shahid Ahmad	Shahid Ahmad
STR_CREDITS_137		Louise McTighe 	Louise McTighe 	Louise McTighe 	Louise McTighe 	Louise McTighe 
STR_CREDITS_138		John Broomhall	John Broomhall	John Broomhall	John Broomhall	John Broomhall
STR_CREDITS_139		For Hasbro	Pour Hasbro	Hasbro	Per Hasbro	For Hasbro
STR_CREDITS_140		Interactive US	Interactive aux Etats-Unis	Interactive USA	Interactive USA	Interactive US
STR_CREDITS_141		CEO	Directeur général	Vorsitzender	Direttore esecutivo	CEO
STR_CREDITS_142		Tom Dusenberry	Tom Dusenberry	Tom Dusenberry	Tom Dusenberry	Tom Dusenberry
STR_CREDITS_143		COO	Directeur opérationnel	Geschäftsführung	Direttore operativo	COO
STR_CREDITS_144		Charlie McCarthy	Charlie McCarthy	Charlie McCarthy	Charlie McCarthy	Charlie McCarthy
STR_CREDITS_145		Product Manager	Responsable produit	Produktmanagement	Responsabile per il prodotto	Product Manager
STR_CREDITS_146		Matt Collins	Matt Collins	Matt Collins	Matt Collins	Matt Collins
STR_CREDITS_147		Senior	Responsable 	Leitender	Responsabile senior	Senior
STR_CREDITS_148		Product Manager	produit en chef	Produktmanager	per il prodotto	Product Manager
STR_CREDITS_149		Mark Goodreau	Mark Goodreau	Mark Goodreau	Mark Goodreau	Mark Goodreau
STR_CREDITS_150		Chief Creative Officer	Responsable de la création	Kreativleitung	Direttore creativo	Chief Creative Officer
STR_CREDITS_151		John Sutyak	John Sutyak	John Sutyak	John Sutyak	John Sutyak
STR_CREDITS_152		Senior V.P. Research	Vice-président en chef	Leitung Forschung	Direttore	Senior V.P. Research
STR_CREDITS_153		and Development	de la recherche	und Entwicklung	ricerca e sviluppo	and Development
STR_CREDITS_154		Tony Parks	Tony Parks	Tony Parks	Tony Parks	Tony Parks
STR_CREDITS_155		V.P. of Technology	Vice-président technologie	VP Technologie	Vicepresidente tecnologie	V.P. of Technology
STR_CREDITS_156		Rich Reily	Rich Reily	Rich Reily	Rich Reily	Rich Reily
STR_CREDITS_157		V.P. External	Vice-président du 	VP Externe	Vicepresidente	V.P. External
STR_CREDITS_158		Development	développement externe	Entwicklung	sviluppo esterno	Development
STR_CREDITS_159		Dave Albert	Dave Albert	Dave Albert	Dave Albert	Dave Albert
STR_CREDITS_160		V.P. of Studios	Vice-président des studios	Studioleitung	Responsabile studio	V.P. of Studios
STR_CREDITS_161		Rod Nakamoto	Rod Nakamoto	Rod Nakamoto	Rod Nakamoto	Rod Nakamoto
STR_CREDITS_162		V.P. of Development	Vice-président opérations	VP Entwicklungs-	Vicepresidente	V.P. of Development
STR_CREDITS_163		Operations	de développement	Bereich	sviluppo operazioni	Operations
STR_CREDITS_164		Rob Sears	Rob Sears	Rob Sears	Rob Sears	Rob Sears
STR_CREDITS_165		Director of	Directeur 	Leitung	Direttore 	Director of
STR_CREDITS_166		Quality Assurance	assurance qualité	Qualitätssicherung	controllo di qualità	Quality Assurance
STR_CREDITS_167		Michael Craighead	Michael Craighead	Michael Craighead	Michael Craighead	Michael Craighead
STR_CREDITS_168		Q.A. Certification	Responsable certification	Management 	Responsabile certificazione 	Q.A. Certification
STR_CREDITS_169		Manager	assurance qualité	QS-Zertifikation	controllo qualità	Manager
STR_CREDITS_170		Kurt Boutin	Kurt Boutin	Kurt Boutin	Kurt Boutin	Kurt Boutin
STR_CREDITS_171		Q.A. Certification	Agent principal certification	Leitung	Capo certificazione 	Q.A. Certification
STR_CREDITS_172		Lead	assurance qualité	QS-Zertifikation	controllo qualità	Lead
STR_CREDITS_173		Bill Carroll	Bill Carroll	Bill Carroll	Bill Carroll	Bill Carroll
STR_CREDITS_174		Q.A. Testing	Responsables tests		Responsabili collaudo	Q.A. Testing
STR_CREDITS_175		Managers	assurance qualité	QS-Testleitung	controllo qualità 	Managers
